"family_id","refCount","median_count","cnv_percentage","CV","pseudo_genes","frequent_pseudogene","freq_gene","pse_perc"
"OG0000016",31,30,0.783,0.222,1.39356643356643,25,"AL2G13130",0.0449537559214977
"OG0000093",3,1,0.913,0.769,0.667832167832168,1,"AL3G36220",0.222610722610723
"OG0000126",11,9,1,0.245,0.49738219895288,8,"AL4G23920",0.0452165635411709
"OG0000200",12,11,0.826,0.268,0.693284193284193,11,"AL7G47600",0.0577736827736827
"OG0000228",3,2,0.696,0.492,0.452431289640592,2,"AL3G46810",0.150810429880197
"OG0000266",9,4,1,0.374,0.578947368421053,6,"AL8G13740",0.064327485380117
"OG0000297",3,2,0.565,0.332,0.253859348198971,1,"AL7G34270",0.0846197827329903
"OG0000320",2,1,1,0.82,0.409090909090909,1,"AL3G14170",0.204545454545455
"OG0000347",14,13,0.783,0.231,0.65448075056616,4,"AL5G18800",0.04674862504044
"OG0000360",8,6,0.957,0.325,0.556724267468069,6,"AL2G29250",0.0695905334335086
"OG0000386",10,9,0.826,0.274,0.602272727272727,7,"AL1G47530",0.0602272727272727
"OG0000402",7,2,0.957,0.74,1.5007215007215,1,"AL1G38130",0.214388785817357
"OG0000442",1,1,0,0,0,0,NA,0
"OG0000534",1,1,0,0,0,0,NA,0
"OG0000739",4,4,0.087,0.225,0.191222570532915,1,"AL2G18250",0.0478056426332287
"OG0001132",6,5,0.739,0.342,0.525154457193292,6,"AL7G52410",0.0875257428655487
"OG0001188",5,4,0.565,0.32,0.409090909090909,2,"AL6G37940",0.0818181818181818
"OG0001196",2,2,0.348,0.362,0.211302211302211,2,"AL4G42570",0.105651105651105
"OG0001392",8,7,0.696,0.259,0.445632798573975,5,"AL6G30000",0.0557040998217469
"OG0001395",3,3,0.087,0.23,0.14965034965035,2,"AL2G11060",0.04988344988345
"OG0001688",2,1,0.522,0.411,0.242424242424242,2,"AL3G47160",0.121212121212121
"OG0001901",6,6,0.435,0.165,0.147636363636364,2,"AL6G45960",0.0246060606060607
"OG0002370",4,3,0.652,0.333,0.333333333333333,0,NA,0.0833333333333332
"OG0002883",1,1,0.391,0.82,0.409090909090909,0,NA,0.409090909090909
"OG0002919",5,4,0.565,0.267,0.297348484848485,1,"AL1G35270",0.059469696969697
"OG0003680",1,1,0,0,0,0,NA,0
"OG0004132",5,5,0.478,0.267,0.303339517625232,3,"AL2G11030",0.0606679035250464
"OG0004872",5,4,0.696,0.644,1.24242424242424,3,"AL8G19400",0.248484848484848
